aphiaID;TAXON;Kingdom;Subkingdom;Infrakingdom;Phylum;Subphylum;Infraphylum;Class;Subclass;Order;Family;Genus;Species;Superorder;Phylum (Division);Subfamily;Subphylum (Subdivision);Superclass;Forma;Suborder;Variety;rank
149153;Pseudo-nitzschia delicatissima;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Species
149154;Triceratium;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Triceratiales;Triceratiaceae;Triceratium;NA;Biddulphianae;NA;NA;NA;NA;NA;NA;NA;Genus
149156;Odontella granulata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Triceratiales;Triceratiaceae;Odontella;Odontella granulata;Biddulphianae;NA;NA;NA;NA;NA;NA;NA;Species
149158;Coscinodiscus radiatus;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus radiatus;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Species
149161;Schroederella;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Melosirales;Melosiraceae;Schroederella;NA;Coscinodiscanae;NA;NA;NA;NA;NA;NA;NA;Genus
149167;Proboscia;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Proboscia;NA;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Genus
149168;Proboscia alata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Rhizosoleniales;Rhizosoleniaceae;Proboscia;Proboscia alata;Rhizosolenianae;NA;NA;NA;NA;NA;NA;NA;Species
149170;Triceratium favus;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Triceratiales;Triceratiaceae;Triceratium;Triceratium favus;Biddulphianae;NA;NA;NA;NA;NA;NA;NA;Species
149173;Chaetoceros fragilis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Coscinodiscophycidae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;Chaetoceros fragilis;Chaetocerotanae;NA;NA;NA;NA;NA;NA;NA;Species
149176;Striatella;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Striatellales;Striatellaceae;Striatella;NA;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149177;Striatella unipunctata;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Striatellales;Striatellaceae;Striatella;Striatella unipunctata;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Species
149179;Delphineis;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Rhaponeidales;Rhaphoneidaceae;Delphineis;NA;Bacillariophycidae incertae sedis;NA;NA;NA;NA;NA;NA;NA;Genus
149181;Pleurosigma;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Naviculales;Pleurosigmataceae;Pleurosigma;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149186;Synedra;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Fragilariophycidae;Fragilariales;Fragilariaceae;Synedra;NA;Fragilariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149190;Achnanthaceae;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Achnanthales;Achnanthaceae;NA;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Family
149191;Achnanthes;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Achnanthales;Achnanthaceae;Achnanthes;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
149200;Amphora;Chromista;NA;NA;Heterokontophyta;Bacillariophytina;NA;Bacillariophyceae;Bacillariophycidae;Thalassiophysales;Catenulaceae;Amphora;NA;Bacillariophycanae;NA;NA;NA;NA;NA;NA;NA;Genus
