"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","QFLAG","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VFLAG","MPROG","VALUE"
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",281.045751634
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,106386,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",5.446623094
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,106673,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",6.535947712
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,116162,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",13.071895425
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,117034,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",2.178649237
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,123200,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",19.607843137
"BAMN","AA31","IGA_Gravelines_1998","5198745",2.15003,51.02219,,"GRAV - Canal Amenee",19980420,,,"5198745",,,2,5,131495,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",52.287581699
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,105,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11.534025375
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,882,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",46.136101499
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,913,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",46.136101499
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,1082,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",34.602076125
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,1101,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11.534025375
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,1135,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11.534025375
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,1267,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",4.61361015
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,10194,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",16.147635524
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,103407,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",991.926182238
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104251,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",945.790080738
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104466,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",11.534025375
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104496,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",565.167243368
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104515,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",288.350634371
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104685,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",23.06805075
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,104878,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",6286.043829296
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,106386,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",42.675893887
"BAMN","AA31","IGA_Gravelines_1998","5198762",2.15003,51.02219,,"GRAV - Canal Amenee",19980518,,,"5198762",,,2,5,106673,,,"ABUNDNR","nr/m3",,,,,,,"T~S",1998,"ZP","ERID",,,,"S","JMP~NATL",10.380622837
